N, removed, left, total, steps
2, 1, 0, 1, 2
3, 3, 0, 3, 2
4, 6, 0, 6, 2
5, 10, 0, 10, 3
6, 15, 0, 15, 3
7, 21, 0, 21, 5
8, 28, 0, 28, 5
9, 36, 0, 36, 7
10, 37, 8, 45, 10
11, 35, 20, 55, 6
12, 46, 20, 66, 6
13, 54, 24, 78, 8
14, 67, 24, 91, 8
15, 66, 39, 105, 6
16, 73, 47, 120, 6
17, 71, 65, 136, 6
18, 88, 65, 153, 6
19, 94, 77, 171, 6
20, 113, 77, 190, 6
21, 119, 91, 210, 6
22, 128, 103, 231, 8
23, 128, 125, 253, 6
24, 151, 125, 276, 6
25, 160, 140, 300, 6
26, 171, 154, 325, 10
27, 165, 186, 351, 6
28, 173, 205, 378, 6
29, 179, 227, 406, 6
30, 208, 227, 435, 6
31, 212, 253, 465, 6
32, 243, 253, 496, 6
33, 254, 274, 528, 9
34, 255, 306, 561, 6
35, 257, 338, 595, 6
36, 270, 360, 630, 6
37, 287, 379, 666, 14
38, 324, 379, 703, 14
39, 320, 421, 741, 12
40, 321, 459, 780, 6
41, 334, 486, 820, 6
42, 375, 486, 861, 6
43, 381, 522, 903, 6
44, 424, 522, 946, 6
45, 434, 556, 990, 6
46, 447, 588, 1035, 6
47, 449, 632, 1081, 6
48, 496, 632, 1128, 6
49, 506, 670, 1176, 6
50, 526, 699, 1225, 8
51, 531, 744, 1275, 6
52, 534, 792, 1326, 6
53, 548, 830, 1378, 6
54, 601, 830, 1431, 6
55, 608, 877, 1485, 6
56, 631, 909, 1540, 6
57, 639, 957, 1596, 6
58, 653, 1000, 1653, 8
59, 655, 1056, 1711, 8
60, 714, 1056, 1770, 8
61, 724, 1106, 1830, 6
62, 785, 1106, 1891, 6
63, 787, 1166, 1953, 6
64, 794, 1222, 2016, 6
65, 805, 1275, 2080, 6
66, 824, 1321, 2145, 6
67, 835, 1376, 2211, 6
68, 902, 1376, 2278, 6
69, 910, 1436, 2346, 6
70, 924, 1491, 2415, 6
71, 942, 1543, 2485, 6
72, 1013, 1543, 2556, 6
73, 1029, 1599, 2628, 10
74, 1102, 1599, 2701, 10
75, 1104, 1671, 2775, 10
76, 1117, 1733, 2850, 6
77, 1129, 1797, 2926, 6
78, 1157, 1846, 3003, 6
79, 1174, 1907, 3081, 6
80, 1253, 1907, 3160, 6
81, 1264, 1976, 3240, 6
82, 1280, 2041, 3321, 6
83, 1282, 2121, 3403, 6
84, 1365, 2121, 3486, 6
85, 1388, 2182, 3570, 6
86, 1407, 2248, 3655, 6
87, 1409, 2332, 3741, 6
88, 1425, 2403, 3828, 6
89, 1442, 2474, 3916, 6
90, 1531, 2474, 4005, 6
91, 1543, 2552, 4095, 7
92, 1572, 2614, 4186, 6
93, 1592, 2686, 4278, 6
94, 1608, 2763, 4371, 6
95, 1610, 2855, 4465, 6
96, 1636, 2924, 4560, 6
97, 1648, 3008, 4656, 6
98, 1745, 3008, 4753, 6
99, 1765, 3086, 4851, 8
100, 1791, 3159, 4950, 16
